End Date,USD/CAD
2016/9/7,1.28601
2016/9/6,1.2893
2016/9/5,1.29485
2016/9/4,1.2983
2016/9/3,1.2983
2016/9/2,1.3063
2016/9/1,1.31075
2016/8/31,1.31031
2016/8/30,1.30439
2016/8/29,1.30124
2016/8/28,1.29987
2016/8/27,1.29987
2016/8/26,1.29201
2016/8/25,1.29239
2016/8/24,1.29259
2016/8/23,1.29133
2016/8/22,1.29174
2016/8/21,1.28637
2016/8/20,1.28637
2016/8/19,1.28274
2016/8/18,1.28121
2016/8/17,1.28715
2016/8/16,1.28807
2016/8/15,1.29387
2016/8/14,1.29493
2016/8/13,1.29493
2016/8/12,1.29682
2016/8/11,1.30356
2016/8/10,1.30599
2016/8/9,1.31547
2016/8/8,1.31648
2016/8/7,1.3168
2016/8/6,1.3168
2016/8/5,1.30753
2016/8/4,1.30521
2016/8/3,1.3105
2016/8/2,1.30987
2016/8/1,1.3066
2016/7/31,1.30364
2016/7/30,1.30364
2016/7/29,1.31234
2016/7/28,1.31538
2016/7/27,1.31887
2016/7/26,1.32115
2016/7/25,1.3172
2016/7/24,1.3123
2016/7/23,1.3123
2016/7/22,1.31186
2016/7/21,1.30566
2016/7/20,1.30419
2016/7/19,1.30005
2016/7/18,1.29539
2016/7/17,1.29668
2016/7/16,1.29668
2016/7/15,1.29109
2016/7/14,1.29309
2016/7/13,1.30314
2016/7/12,1.30617
2016/7/11,1.30765
2016/7/10,1.30355
2016/7/9,1.30355
2016/7/8,1.30204
2016/7/7,1.2958
2016/7/6,1.30018
2016/7/5,1.29085
2016/7/4,1.28756
2016/7/3,1.29058
2016/7/2,1.29058
2016/7/1,1.29322
2016/6/30,1.2956
2016/6/29,1.30045
2016/6/28,1.30362
2016/6/27,1.30511
2016/6/26,1.29967
2016/6/25,1.29967
2016/6/24,1.29507
2016/6/23,1.27787
2016/6/22,1.27982
2016/6/21,1.27929
2016/6/20,1.28226
2016/6/19,1.28897
2016/6/18,1.28897
2016/6/17,1.29089
2016/6/16,1.29615
2016/6/15,1.28747
2016/6/14,1.28381
2016/6/13,1.2786
2016/6/12,1.27779
2016/6/11,1.27779
2016/6/10,1.27354
2016/6/9,1.27076
2016/6/8,1.27175
2016/6/7,1.27977
2016/6/6,1.29186
2016/6/5,1.29323
2016/6/4,1.29323
2016/6/3,1.30409
